iter	RMSE
0	0.6487392399
1	0.6457618679
2	0.6428548922
3	0.6399393847
4	0.6371252101
5	0.6343179758
6	0.6317437368
7	0.6289776921
8	0.6263691127
9	0.6236597334
10	0.6209830586
11	0.6183512124
12	0.6158292822
13	0.6133306155
14	0.6108590533
15	0.6083853693
16	0.605804876
17	0.6031056429
18	0.6004241259
19	0.5977557472
20	0.5950859494
21	0.592487419
22	0.5898955749
23	0.587387053
24	0.5849120473
25	0.5824503042
26	0.5799811373
27	0.5775738884
28	0.5752045325
29	0.5728574418
30	0.5705923856
31	0.5682996224
32	0.5660543543
33	0.5638354211
34	0.5616650561
35	0.5595276613
36	0.5574170897
37	0.5553229691
38	0.5532469469
39	0.5512030744
40	0.5491967419
41	0.5472235496
42	0.5453860046
43	0.543482633
44	0.5416002102
45	0.5397269844
46	0.5378568214
47	0.5359853503
48	0.5342167274
49	0.5324463919
50	0.5306634368
51	0.5288886612
52	0.5272108046
53	0.5255223706
54	0.5238278022
55	0.5221515043
56	0.520427675
57	0.518816828
58	0.5171704037
59	0.5155835095
60	0.514017869
61	0.512501906
62	0.5110297176
63	0.5095186928
64	0.5079728463
65	0.5065103874
66	0.5049517848
67	0.5035768837
68	0.5021266892
69	0.5006818882
70	0.4992394728
71	0.4978389633
72	0.4964925073
73	0.4951302809
74	0.4937893605
75	0.4924587629
76	0.4911894489
77	0.4899168742
78	0.4885503772
79	0.4872656374
80	0.4859809985
81	0.4847813563
82	0.4835190739
83	0.4823229057
84	0.4811753196
85	0.4799718511
86	0.4787801797
87	0.477644711
88	0.4765420445
89	0.47539606
90	0.4743486813
91	0.4732253473
92	0.4721511274
93	0.471020675
94	0.4699582218
95	0.4688302243
96	0.4677705023
97	0.4667160533
98	0.4657311314
99	0.4648330739
100	0.4638439495
101	0.4628548305
102	0.461803592
103	0.4608539367
104	0.4598898625
105	0.4589405972
106	0.4578955389
107	0.4568985845
108	0.4559605012
109	0.4549806234
110	0.4539514638
111	0.4530099962
112	0.4520917329
113	0.451152259
114	0.4501717983
115	0.4492378404
116	0.4483274662
117	0.4474174308
118	0.4465535093
119	0.4456516741
120	0.4447945922
121	0.4439679977
122	0.4430988535
123	0.442257291
124	0.4414373811
125	0.4406451103
126	0.4398362179
127	0.4390554794
128	0.4382948198
129	0.4375087066
130	0.43673519
131	0.4359713724
132	0.4352736246
133	0.43454988
134	0.4338635887
135	0.433119374
136	0.4323959223
137	0.4316585852
138	0.4310263037
139	0.4303093986
140	0.4296273583
141	0.4289113743
142	0.4282484467
143	0.4275761097
144	0.4269276925
145	0.4263071855
146	0.425692724
147	0.4250630508
148	0.4244561434
149	0.4238145025
150	0.423224651
151	0.4226467976
152	0.422028222
153	0.4214602469
154	0.4208775799
155	0.4202323061
156	0.4196660894
157	0.4190965225
158	0.4184829891
159	0.417861519
160	0.4172647646
161	0.4167249011
162	0.4161585324
163	0.4156352552
164	0.4150988285
165	0.4145935723
166	0.4140441419
167	0.4134810196
168	0.4129154933
169	0.4123910218
170	0.4119043211
171	0.4113850455
172	0.4109250953
173	0.410454759
174	0.4099447956
175	0.4094913831
176	0.4090083429
177	0.4085740414
178	0.4080493915
179	0.4075516899
180	0.4070878376
181	0.4066536386
182	0.4061691822
183	0.4057168656
184	0.4052315632
185	0.4048496999
186	0.4044366725
187	0.404017667
188	0.4035666057
189	0.4031160208
190	0.4026495599
191	0.4022258724
192	0.4018204803
193	0.4013922762
194	0.4009683354
195	0.4006055615
196	0.4002273229
197	0.3998721501
198	0.3994656143
199	0.3990773261
200	0.3986801616
201	0.3983052339
202	0.397955151
203	0.3975760936
204	0.3972032173
205	0.3968355794
206	0.3964994861
207	0.3961360178
208	0.3957662463
209	0.3954008675
210	0.3950883543
211	0.3947339797
212	0.3943760721
213	0.3940306435
214	0.393702412
215	0.3933770536
216	0.3930685354
217	0.3927472564
218	0.3924052582
219	0.3920489118
220	0.391733969
221	0.3914064143
222	0.3911166773
223	0.3908037735
224	0.390414183
225	0.3900726886
226	0.3897628769
227	0.3894474437
228	0.3891525288
229	0.3888382309
230	0.3884789816
231	0.3881533474
232	0.3878845697
233	0.3876284439
234	0.3873789376
235	0.387041605
236	0.3867292342
237	0.386354158
238	0.3860647461
239	0.3857860368
240	0.3854827174
241	0.385197696
242	0.3849261394
243	0.3846535138
244	0.3843372381
245	0.3840647172
246	0.3837949272
247	0.3835220237
248	0.3832551059
249	0.3829936694
250	0.3827529918
251	0.3824662756
252	0.3822403993
253	0.3819946282
254	0.3817398883
255	0.3815139147
256	0.3813023919
257	0.3810202837
258	0.3807639605
259	0.3804876547
260	0.3801569257
261	0.3799037435
262	0.3796792333
263	0.3793948861
264	0.3791623531
265	0.3788853094
266	0.3786124269
267	0.3784157441
268	0.3782068973
269	0.3779526583
270	0.3777190687
271	0.3774295166
272	0.3771702679
273	0.3769127996
274	0.3766871265
275	0.3764787492
276	0.3762725432
277	0.3760208724
278	0.3757604789
279	0.3755266381
280	0.3753123493
281	0.375102532
282	0.3749184867
283	0.3746958729
284	0.374505502
285	0.3743129126
286	0.3741148823
287	0.3739037767
288	0.3736682528
289	0.3734653192
290	0.3732802779
291	0.373041721
292	0.3728210004
293	0.3726385743
294	0.3724118263
295	0.3722187833
296	0.3720355604
297	0.3717938995
298	0.3716170985
299	0.3714419452
300	0.3712597397
301	0.3710870408
302	0.3709061293
303	0.37071518
304	0.3705241525
305	0.3703398027
306	0.3701712962
307	0.3700144697
308	0.3698271479
309	0.3696644713
310	0.3694858011
311	0.369294565
312	0.3691101606
313	0.3689008096
314	0.3687359778
315	0.3685697062
316	0.368396421
317	0.3682481345
318	0.3680608359
319	0.3678757754
320	0.3677252409
321	0.3675511856
322	0.3673728179
323	0.3672173343
324	0.3670711296
325	0.366928949
326	0.3667753105
327	0.3666007699
328	0.3664547808
329	0.3662960779
330	0.3661569511
331	0.3659868466
332	0.3658342057
333	0.3656740835
334	0.3655424543
335	0.36540412
336	0.3652424858
337	0.3650990746
338	0.364917821
339	0.3647768228
340	0.3646205212
341	0.364480224
342	0.3643409534
343	0.3641933269
344	0.3640401164
345	0.3639200511
346	0.363792915
347	0.3636839115
348	0.3635684137
349	0.3634193788
350	0.3632652971
351	0.3631397206
352	0.3630193039
353	0.3628820624
354	0.3627454644
355	0.3625875556
356	0.3624525394
357	0.3623300853
358	0.3622131079
359	0.3620859686
360	0.3619581684
361	0.3618364465
362	0.3616968288
363	0.3615856587
364	0.3614525369
365	0.361325651
366	0.3611959465
367	0.3610441235
368	0.3608976225
369	0.360786446
370	0.3606534958
371	0.3605274727
372	0.3603936807
373	0.3602587568
374	0.3601567505
375	0.3600287188
376	0.3599158885
377	0.359814125
378	0.3597233423
379	0.3595827629
380	0.359476041
381	0.3593523979
382	0.3592402567
383	0.3591443041
384	0.3590348681
385	0.3589332343
386	0.3588222015
387	0.3587101406
388	0.3586026174
389	0.3585142934
390	0.3584056936
391	0.3582973104
392	0.3581899535
393	0.3580967894
394	0.3579841166
395	0.357887574
396	0.3577924739
397	0.3577072614
398	0.3575588311
399	0.3574635796
400	0.3573392999
401	0.3572436156
402	0.3571444717
403	0.3570220853
404	0.3569202389
405	0.3568053164
406	0.3567058663
407	0.3566084766
408	0.3565026533
409	0.3563901087
410	0.3562796077
411	0.3561552325
412	0.3560171975
413	0.3559226794
414	0.3558325122
415	0.3557312069
416	0.3556325346
417	0.3555321689
418	0.3554148257
419	0.3552983073
420	0.3551832439
421	0.3550449027
422	0.354941139
423	0.3548482117
424	0.3547607938
425	0.3546568992
426	0.3545583762
427	0.3544766689
428	0.3543778556
429	0.3542945253
430	0.3541971725
431	0.3541081851
432	0.3540038139
433	0.3539314688
434	0.3538382238
435	0.3537500848
436	0.3536700128
437	0.3535884428
438	0.3534939561
439	0.3534208511
440	0.3533418403
441	0.3532703672
442	0.3531702026
443	0.3530651024
444	0.3529789457
445	0.3528737894
446	0.3528073286
447	0.3527402348
448	0.3526431444
449	0.3525585817
450	0.3524785301
451	0.3523907817
452	0.3522991392
453	0.3522157283
454	0.3521223807
455	0.3520494073
456	0.35195501
457	0.351892717
458	0.3518102919
459	0.3517466217
460	0.3516617219
461	0.3515743548
462	0.3514881388
463	0.3514303382
464	0.3513603581
465	0.3512722895
466	0.3511821396
467	0.3510918834
468	0.3510148136
469	0.3509458077
470	0.3508766462
471	0.3507849799
472	0.3506937604
473	0.3506024869
474	0.3505033293
475	0.350390972
476	0.3503311449
477	0.3502700625
478	0.3501880483
479	0.350098118
480	0.3500347872
481	0.3499599047
482	0.3498600123
483	0.3497895149
484	0.3497040033
485	0.3496153794
486	0.349533744
487	0.3494684571
488	0.349403645
489	0.3493417968
490	0.3492780046
491	0.3491900959
492	0.3490823028
493	0.3490097999
494	0.3489104074
495	0.3488364311
496	0.3487467532
497	0.3486495934
498	0.3485180197
499	0.3484190281
59
499	0.285205151
