iter	Passed	Remaining
0	1026	512027
1	1837	457582
2	2383	394820
3	2944	365154
4	3608	357202
5	4229	348232
6	4907	345595
7	5537	340577
8	6201	338347
9	6904	338322
10	7442	330840
11	7968	324032
12	8522	319254
13	9258	321386
14	10371	335338
15	10933	330752
16	11631	330480
17	12469	333893
18	13442	340305
19	14169	340064
20	15425	351841
21	16027	348243
22	16874	349960
23	18173	360435
24	18745	356166
25	19264	351201
26	19847	347699
27	20566	346700
28	21245	345059
29	21700	339972
30	22127	334774
31	22743	332617
32	23477	332240
33	24008	329053
34	24623	327134
35	25232	325223
36	25814	323024
37	26495	322125
38	27207	321609
39	27763	319278
40	28350	317386
41	28896	315107
42	29376	312211
43	29956	310456
44	30775	311177
45	31482	310721
46	32028	308704
47	32683	307767
48	33678	309980
49	34227	308050
50	34729	305758
51	35417	305131
52	36194	305267
53	36844	304308
54	37669	304782
55	38175	302674
56	39117	304020
57	39892	304011
58	40552	303113
59	41391	303535
60	42012	302351
61	42549	300592
62	43126	299149
63	43839	298658
64	44542	298092
65	45168	297015
66	46004	297310
67	46566	295836
68	47270	295271
69	47917	294351
70	48607	293701
71	49409	293710
72	50045	292729
73	50877	292888
74	51570	292231
75	52229	291386
76	52851	290341
77	53601	289996
78	54343	289601
79	55027	288892
80	55815	288722
81	56419	287599
82	57099	286872
83	57767	286086
84	58586	286040
85	59959	288641
86	61373	291349
87	62720	293647
88	63223	291965
89	64016	291628
90	65218	293124
91	66921	296783
92	67767	296573
93	69508	300219
94	71093	303081
95	72467	304966
96	73884	306961
97	75318	308957
98	76297	309042
99	77096	308386
100	78247	309117
101	79261	309274
102	80230	309238
103	81492	310298
104	82768	311368
105	83859	311702
106	85157	312774
107	86064	312384
108	87532	313992
109	88248	312881
110	88961	311764
111	90406	313194
112	91080	311930
113	91951	311345
114	93136	311805
115	93893	310819
116	94641	309808
117	95536	309278
118	96833	310030
119	97405	308449
120	99443	311479
121	101693	315084
122	103335	316728
123	104793	317760
124	106592	319777
125	107982	320520
126	108869	319749
127	109945	319530
128	110627	318160
129	111473	317270
130	112426	316680
131	113592	316681
132	114492	315929
133	115625	315811
134	116689	315493
135	117536	314584
136	118103	312930
137	118766	311547
138	119533	310441
139	120218	309132
140	121067	308249
141	121601	306572
142	122200	305073
143	123111	304359
144	124444	304675
145	125620	304586
146	126400	303533
